Subject,Course,Name,Description,Credit Hours,Degree Attributes,CRN,Average Grade,Degree Attributes Codes
ACCY,200,Fundamentals of Accounting,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,3,,56973,3.563333333333334,
ACCY,201,Accounting and Accountancy I,"Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.",3,,30112,3.28,
ACCY,202,Accounting and Accountancy II,"Further develops the student's understanding of accrual accounting, the goals and objectives of financial reporting, the information needs of end users, the qualities of useful information, as well as the financial statements and financial statement elements. Students will analyze and record progressively more complex transactions, continuing to take the economic event from inception to reporting. Recurring themes and foundational concepts are emphasized such that students can develop intuition for accounting measurement and reporting. Credit is not given for both ACCY 202 and ACCY 200. Prerequisite: ACCY 201 or equivalent.",3,,30147,3.3800000000000003,
ACCY,301,Atg Measurement &amp; Disclosure,"Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors.",3,,30192,3.315,
ACCY,302,Decision Making for Atg,"We will develop and apply a framework to better understand the specific types of accounting information managers need to make key operational and strategic decisions. Utilizing business case studies and real-world projects, the course will also develop skills in gathering, visualizing, and statistically analyzing this accounting information to inform these important decisions. Prerequisite: ACCY 202 or equivalent; BADM 210 or concurrent enrollment or equivalent; and recommend concurrent enrollment in ACCY 301 for Accountancy majors.",3,,60043,3.5,
ACCY,303,Accounting Institutions and Regulation,"Measurement and reporting of firm's liabilities and shareholders' equity. Topics include current liabilities, contingencies, subsequent events, bonds, leases, pensions, equity issuance and repurchase, dividends, and equity-based compensation. Prerequisite: ACCY 301 and FIN 221.",3,,30267,3.325,
ACCY,304,Accounting Control Systems,"Explores an important framework that highlights the vital roles accounting control systems play in shaping and implementing organizational strategy. Components of this framework include internal controls, organizational missions and values, codes of ethics, performance measurement, evaluation, and reward systems. Case studies, class discussions, group exercises, and field research projects emphasize critical reasoning, data analytics, teamwork, and written and oral communication. Prerequisite: ACCY 301 and ACCY 302.",3,,30288,3.5980000000000003,
ACCY,312,Principles of Taxation,"Introduction to the United States federal income tax system with an emphasis on income tax determination and the taxation of property transactions. Topics include the tax environment, tax provisions relevant to businesses, employees and business owners. Projects facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent.",3,,30334,3.31,
ACCY,405,Assurance and Attestation,"Conceptual introduction to diverse means by which assurers improve the quality of information used by third parties for contracting purposes, with emphases on the credibility- and relevance-enhancement properties of assurers' services. Topics include the economics of assurance and attestation, and concepts including independence, risk, evidence, and control. Projects facilitate self-discovery of knowledge and development of professional skills and attitudes. 3 undergraduate hours. 3 graduate hours. Prerequisite: ACCY 304 or consent of department.",3,,30311,3.2380000000000004,
ACCY,506,Advanced Topics in Accounting,"Covers current authoritative accounting standards and applications to accounting practice. Topics include accounting for business combinations, the preparation of consolidated financial statements, and other advanced financial reporting topics. 4 graduate hours. No professional credit. Credit is not given toward graduation for both ACCY 506 and ACCY 410 or ACCY 532. Prerequisite: ACCY 501, and credit or concurrent enrollment in ACCY 502.",4,,66495,3.6833333333333336,
ACCY,510,Financial Reporting Standards,"Stakeholders' needs for reliable and relevant information about the performance of firms, as well as managers; economic self-interests, influence managers' selection of accounting policies and financial reporting methods. This course selectively surveys both academic research and professional standards to focus on the measurement, classification and disclosure of financial transactions. Cases, class discussion and research projects emphasize independent thinking, group processes, and communication. 4 graduate hours. No professional credit. Prerequisite: ACCY 410 and enrollment in the BS/MAS in Accountancy program or consent of department.",4,,44865,3.36,
ACCY,512,Data Analytics for Management Accounting,"Data analytics incorporated into management decision making, including planning, cost management, and management control system design. Focuses on developing your skills of gathering and analyzing data for internal decision making purposes. 4 graduate hours. No professional credit. Prerequisite: Enrollment in graduate accounting degree program or consent of department.",4,,30434,3.5933333333333337,
ACCY,515,Auditing &amp; Assurance Standards,"Role of professional and ethical standards in the conduct of auditing and assurance services and the role of auditing and assurance services in corporate governance and capital markets. This course selectively surveys both academic and professional literature to focus on the conduct of auditing and assurance services. Cases, class discussion, group projects, and data analytics using Tableau emphasize the importance of critical thinking, group processes, and communication for professional accounting practice. Real-world scenarios assist in implementing auditing standards. 4 graduate hours. No professional credit. Prerequisite: ACCY 405 and enrollment in the BS/MS in Accountancy program or consent of department.",4,,44467,3.52,
ACCY,518,Financial Statement Fraud,"Introduction to fraud examination with an emphasis on financial statement fraud. The course provides a comprehensive introduction to fraud examination. The topics addressed in the course include the unique characteristics of fraud examinations and a comparison to financial statement audits, the characteristics that should be possessed by fraud examiners, an overview of the fraud examination process, the nature and extent of fraud, an introduction to the taxonomy of financial statement frauds, techniques for evidence collection including interview techniques, Benford's law, and the development of fraud reports. 4 graduate hours. No professional credit. Prerequisite: Enrollment in graduate accounting degree program or consent of the department. This class is restricted to MAS and MSA students: Accountancy-UIUC.",4,,64807,,
ACCY,550,Multistate Taxation,"Will examine state and local tax laws prevalent in the United States today. The course will consider the historical progression of state and local taxation, the power of states to tax (and the limitations on that power), and planning strategies for minimizing the impact of state and local taxation. Income taxes are emphasized; however, other taxes such as sales and use taxes and property taxes will be discussed. 2 graduate hours. No professional credit. Prerequisite: Credit or concurrent enrollment in ACCY 451, ACCY 507, or equivalent or consent of the department. Restricted to students enrolled in a graduate accounting degree program.",2,,70066,3.58,
ACCY,551,Corporate Income Taxation,"Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving corporations and their shareholders; coverage includes formations, operations, distributions, liquidations, reorganizations, and affiliations. 4 graduate hours. No professional credit. Prerequisite: ACCY 451, credit or concurrent enrollment in ACCY 556, or equivalent or consent of department.",4,,63205,,
ACCY,552,Partnership Income Taxation,"Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving partnerships and their partners, including Subchapter S corporations and their shareholders. 4 graduate hours. No professional credit. Prerequisite: ACCY 451, credit or concurrent enrollment in ACCY 556, or equivalent or consent of department.",4,,30438,3.56,
ACCY,574,Risk Management and Innovation,"Decision making and analytic approaches to help organizations navigate disruptive changes in practices, technology, regulation, and culture to serve stakeholders (customers, employees, investors, the public). Course content focuses on identifying and quantifying risks, and balancing between achieving consistent, measurable outcomes and delivering stakeholder-driven objectives. Cases and experiential learning will emphasize developing tools to translate data into insights, tie these insights into managing stakeholder interests, and communicating these insights to decision makers. 4 graduate hours. No professional credit. Prerequisite: Enrollment in MAS or MSA program.",4,,70515,3.945,
ACCY,575,Data Analytics Applications in Accountancy,"Develops knowledge regarding the role, methods, and implications of business and data analytics in accounting. Building on prior coursework on the fundamentals of statistical analysis and business/data analytics, this course provides the opportunity to apply related theoretical and practical principles to a variety of accounting scenarios, including audit, tax, fraud identification and detection, financial reporting, and managerial accounting. 4 graduate hours. No professional credit. Prerequisite: ACCY 570.",4,,64806,3.82875,
ACCY,576,Data Preparation for Accounting,"This course focuses on developing Python skills for assembling business data, taught within the context of multiple accounting settings (e.g., financial statement data, stock data, loan data, point-of-sale data, etc.). 2 graduate hours. No professional credit.",2,,70683,3.73,
ACCY,577,Machine Learning for Accounting,"This course introduces machine learning algorithms and their applications in accounting problems. It covers classification, regression, clustering, text analysis, time series analysis. It also discusses feature importance and model optimization. 2 graduate hours. No professional credit. Prerequisite: ACCY 576.",2,,71767,3.66,
ACCY,578,Accounting Analytics Applications,"Develops students’ knowledge regarding the role, methods, and implications of business and data analytics in accounting via real-world applications of fundamental and advanced analytics principles. Application opportunities span multiple areas of accounting, including audit, fraud identification and detection, financial accounting, and managerial accounting. After engaging in this course, students should (1) have a foundational understanding of the role of business / data analytics in accounting and (2) be able to apply this knowledge to real-world clients, business decisions, etc. 1 graduate hour. No professional credit. May be repeated in the same or separate semesters to a maximum of 4 hours. Prerequisite: Some sections require the completion of ACCY 576 (or equivalent), and are denoted as requiring this prerequisite.",1,,71795,,
ACCY,594,Doctoral Research Seminar,"Seminars in various accounting areas designed to enhance the research abilities of doctoral students and to assist them in preparing research proposals; these include Behavioral Dimensions, Public Sector, Tax, Auditing, Managerial, and others announced in the Class Schedule. May be repeated. Prerequisite: Credit or concurrent registration in ACCY 592 or consent of department.",4,,39471,,
ACE,100,Introduction to Applied Microeconomics,"Principles of microeconomics; demand, production, supply, elasticity, markets, and trade are presented and used in the analysis of decisions of individuals relating to agricultural and food production, consumption, and natural resource use. Credit is not given for ACE 100 if credit for ECON 102 has been earned.",4,['Social & Beh Sci - Soc Sci course'],30470,3.41,[1]
ACE,161,Microcomputer Applications,Instruction and practice in solving data-related problems with microcomputers and general purpose software packages.,3,,30504,3.4,
ACE,210,Environmental Economics,"Economic issues surrounding environmental quality, including: costs and benefits of environmental protection; economics of environmental policies (such as those dealing with toxics, water, and air pollution, and municipal solid waste); and economics of international environmental problems (such as ozone depletion and climate change). Same as ECON 210, ENVS 210, NRES 210, and UP 210.",3,['Social & Beh Sci - Soc Sci course'],30522,2.72,[1]
ACE,231,Food and Agribusiness Mgt,"Overview of management in the food and agribusiness sector. Major topics covered include: introduction to the food and agribusiness sector; the environment of the firm; fundamentals, structural design, and change in organizations; leadership, motivation, communication; and planning and control. Coverage is at the introductory level with a focus on textbook material and current issues.",3,,55458,3.21,
ACE,232,Farm Management,"Economic principles are applied to the management of farms using budgeting system analysis, record analysis, financial management, and lease analysis. Problems related to resource appraisal and business organization are also addressed.",3,,30577,2.95,
ACE,240,Personal Financial Planning,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning. Prerequisite: Sophomore standing or consent of instructor.",3,,55444,3.553333333333333,
ACE,251,The World Food Economy,"Examination of global food production, consumption, and trade; problems of hunger and population; the role of agricultural development, trade, and aid in relieving hunger. Prerequisite: ACE 100 or ECON 102 or consent of instructor.",3,"['Grand Challenge-Sustainability', ' Cultural Studies - Non-West', ' Social & Beh Sci - Soc Sci course']",41416,3.31,"[3, 8, 1]"
ACE,255,Economics of Food and Environmental Justice,"Access to food and a healthy environment varies across rural/urban location, race, gender, and income in the U.S. Students in this course will analyze questions of ""food justice"" and ""environmental justice"" through the lens of economic theory. Students will learn important concepts in the scholarship of minority cultures, learn facts about how food security and experience of environmental quality varies among groups in the U.S., and learn how to use economic theory to understand those patterns and analyze policies to correct inequities.",3,"['Social & Beh Sci - Soc Sci', ' Cultural Studies - US Minority course']",67438,3.68,"[1, 8]"
ACE,262,Applied Statistical Methods and Data Analytics I,"Statistics is a key tool in the data analysis process, which involves data collection, data description, data analysis, and results interpretation. ACE 262 discusses how to collect data and how to analyze these data using descriptive statistics. Descriptive statistics help summarize the data in a meaningful way and identify possible patterns. The course also introduces random variables, probability distributions, hypothesis testing, simple linear regression, and the theoretical underpinnings of these concepts. An emphasis is placed on examples from the field of economics, but other areas are represented as well. Course content enhances students’ critical thinking skills and their ability to apply appropriate models to professional and everyday problems. Credit is not given toward graduation for ACE 262 if credit for any of ECON 202, CPSC 241, STAT 100, or equivalent has been earned.",3,['Quantitative Reasoning I course'],70716,2.97,[10]
ACE,264,Applied Statistical Methods &amp; Data Analytics 2,Offers the statistical and econometric tools to describe and understand common economic issues. The emphasis will be on the multiple regression model and its associated extensions regularly used to overcome traditional econometric issues. The course will introduce and use an advanced statistical software for hands-on exercises. No prior experience with the software is expected or required. Credit is not given for ACE 264 if credit for ECON 203 or equivalent has been earned. Prerequisite: MATH 124 or MATH 125; ACE 262.,3,,70717,3.41,
ACE,270,Consumer Economics,Introduction to the study of the consumer in the American economy; sources of consumer information and consumer protection; and examination of current consumer issues within an economic framework.,3,,30581,2.97,
ACE,300,Intermediate Applied Microeconomics,"Why could energy policy affect the profitability of farmers? Is it better to help families in developing countries with food aid or mini cash grants? Who will bear the cost of a carbon tax? Microeconomic theory helps us answer many important questions about markets and human behavior. Students in ACE 300 will learn rigorous intermediate microeconomic theory through applications to areas such as agriculture, development, finance, consumer behavior, and the environment. Credit is not given for both ACE 300 and ECON 302. Prerequisite: ACE 100 or ECON 102.",3,,70792,2.91,
ACE,306,Food Law,"Explores the legal and political dimensions of food law, policy and trade in the United States and major trading partners. Examines the development of major national and state laws that apply to production, distribution and retail sale of food. Evaluates current issues in food regulation, including: biotechnology, organics, health labeling claims, food safety and products liability litigation. Discusses food regulation in other countries within the context of international treaties such as the World Trade Organization and United Nations.",3,,71848,2.95,
ACE,310,Natural Resource Economics,"Economic principles are used to analyze a broad range of natural resource policy and management issues. Economic concepts developed include public goods, social welfare, discounting, dynamic efficiency, and resource scarcity. Natural resources examined include biodiversity, fisheries, forests, minerals, soil, and water resources. Same as ENVS 310 and NRES 310. Prerequisite: ACE 100 or ECON 102.",3,,60463,3.67,
ACE,335,Food Marketing and Behavior,"This course will explore the food choices consumers make and what this means in the food and agribusiness industries. Students will also learn how to conduct basic research related to consumer behavior, including developing a research question, designing high quality surveys/experiments, and analyzing data.",3,,68043,3.7,
ACE,344,FinTech in Personal Finance and Financial Planning,"Provides students with a dive into Personal Finance, Financial Planning and FinTech. Students will develop a comprehensive understanding of how personal finance relies on Fintech to create comprehensive solutions for clients. This class will provide hands-on training in modern financial planning software, tools and cloud-based applications. Additionally, this course explores digital currencies and blockchain technology through the lens of personal finance and financial planning. Credit is not given towards graduation for ACE 344 if credit for ACE 398 TCH has been earned. Prerequisite: ACE 240.",3,,74133,,
ACE,345,Finan Decision Indiv Sm Bus,"Introduction to financial decision-making for small businesses and individuals. Examines financial statement preparation and analysis; capital structure (use of debt and equity); investment analysis and portfolio theory; time value of money; interest rates and term structure; asset markets (pricing theories); evaluation of financial risk and insurance concepts, and an introduction to credit markets and financial capital suppliers. In addition, there is a class project involving a visit to either a lender or a financial planner/advisor, and other experiences to introduce students to services and careers in financial sectors. Prerequisite: ACCY 201 or equivalent, or consent of instructor.",3,,73342,3.11,
ACE,349,Risk Management and Financial Planning Across the Life Cycle,"Provides students with an in-depth view of risk management and insurance by following a case study over the course of the semester. Students will evaluate human capital, health, disability, life, property and casualty, business, retirement, and long-term care risks faced by financial planning clients. The course will feature multiple lectures and interviews with practicing financial planning professionals. Content will be delivered utilizing a life cycle approach, focusing on a hypothetical client household's risks as they evolve through early career (with and without dependents), mid-career with dependents, and near-retirement stages of life. Credit is not given towards graduation for ACE 349 if credit for ACE 398 RM has been earned. Prerequisite: ACE 240.",3,,74131,,
ACE,360,Spreadsheet Models and Applications,"Spreadsheet development and modeling skills intended for economics and finance applications. Advanced uses of spreadsheet software, development of user-defined functions, use of Visual Basic and comparable external interface languages, data query designs, and advanced data analyses, summary and presentation skills are stressed. Iintended to serve as a prerequisite for advanced modeling courses in specific disciplinary areas. Prerequisite: ACE 161 or CS 105.",2,,53547,3.4066666666666663,
ACE,427,Commodity Price Analysis,"A comprehensive and in-depth survey of commodity price analysis with emphasis on the fundamental factors affecting prices of agricultural products; sources of information relating to production and demand factors; government activities as they relate to prices of agricultural products; technical analysis of agricultural product prices; and market efficiency and forecasting. 3 undergraduate hours. 3 graduate hours. Prerequisite: ACE 100 or ECON 102; ACE 262, or equivalent.",3,,30592,3.42,
ACE,428,Commodity Futures and Options,Development of futures trading; operation and governance of commodity exchanges; economic functions of futures trading; operational procedures and problems in using futures markets; public regulation of futures trading; evaluation of market performance. 3 undergraduate hours. 3 graduate hours. Prerequisite: ACE 222 or FIN 300 or equivalent.,3,,57692,,
ACE,430,Food Marketing,"Performance of the food system; marketing margins; transportation, advertising, and retailing of food products; structure, conduct, and performance of food marketing firms and industries; government and public interest in the food system. Same as FSHN 425. 3 undergraduate hours. 3 graduate hours. Prerequisite: ACE 100 or ECON 102, ACE 222 recommended.",3,,43567,2.62,
ACE,435,Global Agribusiness Management,"Examination of the economic and strategic management of food, textile, and agribusiness firms within a global business environment; topics include the global business environment and its institutions, organizational strategies and policies, and business operations in global agricultural, food and textile industries. 3 undergraduate hours. 3 graduate hours.Prerequisite: ACE 231, ACE 222, or BADM 320 or consent of instructor.",3,,58953,3.08,
ACE,441,FINRA Professional Exam Review,"Designed to prepare students to sit for the Series 65 Exam, SIE Exam, and begin the journey towards sitting for the CFP® Exam. This course will help students prepare for careers in financial planning, investment management, insurance, brokerage, banking, and credit unions. ACE 441 also serves as a review of content learned in the financial planning concentration. Students are responsible for registering and paying for the certification exam separately. The exam fee ranges from $80-$190. 3 undergraduate hours. No graduate credit. Credit is not given towards graduation for ACE 441 if credit for ACE 398 FP has been earned. Prerequisite: Students should have taken or are concurrently taking: ACE 240, ACE 449, ACE 444 and ACE 349.",3,,74132,,
ACE,446,Modeling App's Finan Plan,"Improves ability to make effective financial plans and decisions. Involves development of decision tools that are applied to ""real world"" financial data sets and planning/decision-making circumstances. Topics include applied data management techniques (designing queries/storable forms), financial statement analysis, numeric optimization tools, leverage assessment, incorporating risk in decisions, capital budgeting and time value of money, term structure of interest rates, and currency exchange. 2 undergraduate hours. 2 graduate hours. Prerequisite: One of ACE 240, ACE 345, FIN 221; or consent of instructor and advanced knowledge of spreadsheet software equivalent to the coverage of ACE 360.",2,,49906,2.61,
ACE,502,Demand/Supply/Firms/Households,"Applications of demand and supply theories and applications of firm and household behavior. Topics include demand and supply systems, aggregation and separability, dynamics, formation and boundaries of the firm, household decision making, intrahousehold allocation, allocation of time, human capital, and hedonics. Same as ECON 553. Prerequisite: ECON 500 and ACE 501.",4,,30606,,
ACE,503,Equilibrium and Welfare Econ,"Provides a theoretical and applied treatment of economic equilibrium and the consequences of displacement of equilibrium for the welfare levels of economic agents. Displacement of equilibrium will be shown to be brought about by changes in government policy, technology, and consumer preferences. Welfare measures under partial equilibrium, general equilibrium, and multi-market models will be presented. Includes various applications of welfare economics in the analysis of policy and technological change. Prerequisite: ECON 500 and at least two semesters of college calculus.",4,,30653,,
ACE,510,Adv Natural Resource Economics,"Economic theory is used to examine the allocation of renewable and efficiency issues that arise from natural resource policy and management issues. Same as ECON 548, ENVS 510, and NRES 510. Prerequisite: ECON 302 or equivalent.",4,,56381,,
ACE,530,Microeconometrics,"Applied micro-econometrics concentrating on cross section data, panel data, and treatment effects. Includes methods for estimating treatment effects in the Rubin causal model framework. Emphasis will be placed on econometric procedures relevant for agricultural and applied economists and their implementation in Stata, including Mata. Prerequisite: ECON 506 and ECON 507, or equivalent.",4,,43619,,
ACE,531,Impact Evaluation,"The problem of identification. Methods for impact evaluation, including randomized field experiments, propensity score matching, differences in differences, instrumental variables, and regression discontinuity. Includes exercises using the econometric software program STATA. Prerequisite: ACE 500 or ECON 500 or equivalent.",2,,63795,,
ACE,561,Adv Res and Scholarly Comm,"Seminar intended for Ph.D. students who have completed written preliminary examinations. Develops a comprehensive understanding of the research process. Discussions include identification of research topics, structure of research proposals, review of literature, effective communication, management of research activities, and contributions to scholarly debate. Prerequisite: Consent of instructor.",4,,30663,,
ACES,102,Intro Sustainable Food Systems,"An objective approach towards critical systems thinking and towards collaborative analysis across multiple disciplines for the development, production, preparation, consumption, and utilization of food, feed, fiber and energy, while managing the disposal and reuse of byproducts, within complex socioeconomic, ecological and environmental systems. Students will be introduced to the fundamentals of modern crop, livestock, and other agricultural production systems, and consider the future challenges and opportunities in producing enough for a growing world population.",3,['Nat Sci & Tech - Life Sciences course'],63906,3.24,[0]
ACES,200,ACES Transfer Orientation,Introduction to College of ACES and campus resources for students new to the College of ACES. Required of all off campus transfer students and optional for Inter College Transfer students. First eight weeks course. Approved for S/U grading only.,0,,71417,,
ADV,150,Introduction to Advertising,"Introduction to the practice and profession of advertising. Course material covers various functional areas of advertising and integrated brand promotion, including account planning, creative, media, research, consumer behavior, sales promotion and interactive advertising. Topics also include how advertising relates to society in cultural, social, ethical and regulatory contexts. Open to all undergraduate majors.",3,['Social & Beh Sci - Soc Sci course'],74341,3.825,[1]
ADV,175,Diversity in Advertising,"Examines the multifaceted role diversity (including racial, gender, orientation, ability status) plays in the delivery and reception of advertising. Additionally, it examines the development of diversity as a marketplace practice and on the development of the advertising industry. We'll analyze advertising using a historical, cultural, and social perspective and address issues of diversity in the industry. We will also critically review current issues of multicultural, transcultural and multidimensional advertising and marketing. In the process we’ll grapple with current theories on race and implicit /explicit bias and prejudice and their impact upon the production of advertising and consumer communications.",3,['Cultural Studies - US Minority course'],74338,,[8]
ADV,200,Data Literacy,"No matter what your major, or the job you plan to get, becoming fluent at working with data is a sought-after skill. Through lectures and guided workshops, this course provides hands-on- training on fundamentals of data exploration (asking the right questions), data gathering and data analysis (understanding and describing the situation) as well as communicating with data (telling a compelling story through data visualizations). Students learn how to find datasets in online archives and repositories, and are introduced to the commonly used software packages and techniques (spreadsheets, text analytics, social computing). We also focus on critical issues such as data ethics and privacy. We also learn basic computer programming aimed at data analysis. No prior knowledge of research methods, statistics or programming is required.",3,['Quantitative Reasoning I course'],74331,,[10]
ADV,270,Principles of Sales,"This course focuses on the development of the sales process and the role of sales and sales people within organizations. It will also consider consultative and persuasive selling and interpersonal relationship building. It will include sales proposals, and simulation exercises that will reinforce concepts learned within the classroom. It will also feature exposure to sales experts from different areas of business.",3,,70232,3.24,
